Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Pnt,Yds,Y/P,Blck,Num,Pct,Num,Pct,Num,Pct,Status
340,2021,2021-10-03,4,4,44,TAM,0,NWE,W 19-17,*,22,43,51.16,269,0,0,70.8,1,8,6.26,6.26,4,3,0.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,78,100%,0,0%,0,0%,
341,2021,2021-10-10,5,5,44,TAM,,MIA,W 45-17,*,30,41,73.17,411,5,0,144.4,2,15,10.02,12.46,1,13,13,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,62,84%,0,0%,0,0%,
342,2021,2021-10-14,6,6,44,TAM,0,PHI,W 28-22,*,34,42,80.95,297,2,1,102.1,0,0,7.07,6.95,4,1,0.25,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,75,100%,0,0%,0,0%,
343,2021,2021-10-24,7,7,44,TAM,,CHI,W 38-3,*,20,36,55.56,211,4,0,109.8,0,0,5.86,8.08,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,65,89%,0,0%,0,0%,
344,2021,2021-10-31,8,8,44,TAM,0,NOR,L 27-36,*,28,40,70,375,4,2,112,3,25,9.38,9.13,1,2,2,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,61,100%,0,0%,0,0%,
345,2021,2021-11-14,9,10,44,TAM,0,WAS,L 19-29,*,23,34,67.65,220,2,2,80.5,0,0,6.47,5,1,2,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,48,100%,0,0%,0,0%,
346,2021,2021-11-22,10,11,44,TAM,,NYG,W 30-10,*,30,46,65.22,307,2,1,89.7,0,0,6.67,6.57,1,10,10,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,69,88%,0,0%,0,0%,
347,2021,2021-11-28,11,12,44,TAM,0,IND,W 38-31,*,25,34,73.53,226,1,1,88.6,2,9,6.65,5.91,2,2,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,67,100%,0,0%,0,0%,
348,2021,2021-12-05,12,13,44,TAM,0,ATL,W 30-17,*,38,51,74.51,368,4,1,112.2,0,0,7.22,7.9,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,70,100%,0,0%,0,0%,
349,2021,2021-12-12,13,14,44,TAM,,BUF,W 33-27,*,31,46,67.39,363,2,0,105.6,2,12,7.89,8.76,7,16,2.29,1,0,0,0,,0,0.00%,,1,6,0,0,0,1,0,0,0,0,,0,83,100%,0,0%,0,0%,
350,2021,2021-12-19,14,15,44,TAM,,NOR,L 0-9,*,26,48,54.17,214,0,1,57.1,4,30,4.46,3.52,1,2,2,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,0,0,,0,74,100%,0,0%,0,0%,
351,2021,2021-12-26,15,16,44,TAM,0,CAR,W 32-6,*,18,30,60,232,1,0,95.4,0,0,7.73,8.4,1,11,11,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,64,96%,0,0%,0,0%,
352,2021,2022-01-02,16,17,44,TAM,0,NYJ,W 28-24,*,34,50,68,410,3,1,104.6,1,5,8.2,8.5,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,74,100%,0,0%,0,0%,
353,2021,2022-01-09,17,18,44,TAM,,CAR,W 41-17,*,29,37,78.38,326,3,0,130.4,1,2,8.81,10.43,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,51,85%,0,0%,0,0%,
354,2022,2022-09-11,1,1,45,TAM,0,DAL,W 19-3,*,18,27,66.67,212,1,1,87.3,2,17,7.85,6.93,2,-1,-0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,62,100%,0,0%,0,0%,
355,2022,2022-09-18,2,2,45,TAM,0,NOR,W 20-10,*,18,34,52.94,190,1,0,79.3,1,2,5.59,6.18,3,-2,-0.67,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,1,0,0,0,,0,67,100%,0,0%,0,0%,
356,2022,2022-09-25,3,3,45,TAM,,GNB,L 12-14,*,31,42,73.81,271,1,0,98.4,3,20,6.45,6.93,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,0,0,,0,65,100%,0,0%,0,0%,
